id,session_key,date,lap_number,category,flag,scope,message,driver_number
851,9118,2023-07-02T13:22:01+00:00,15,Other,,,CAR 55 (SAI) TIME 1:10.431 DELETED - TRACK LIMITS AT TURN 10 LAP 8 15:13:55,
852,9118,2023-07-02T13:22:02+00:00,15,Other,,,CAR 55 (SAI) TIME 1:10.288 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
853,9118,2023-07-02T13:22:30+00:00,15,Other,,,CAR 44 (HAM) TIME 1:10.579 DELETED - TRACK LIMITS AT TURN 10 LAP 8 15:13:57,
854,9118,2023-07-02T13:22:31+00:00,15,Other,,,CAR 44 (HAM) TIME 1:10.598 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
855,9118,2023-07-02T13:22:38+00:00,16,Other,,,INCIDENT INVOLVING CAR 44 (HAM) NOTED - TRACK LIMITS,
856,9118,2023-07-02T13:22:55+00:00,16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 5,
857,9118,2023-07-02T13:22:58+00:00,16,Flag,CLEAR,Sector,CLEAR IN TRACK SECTOR 6,
858,9118,2023-07-02T13:23:00+00:00,16,SafetyCar,,,VIRTUAL SAFETY CAR ENDING,
859,9118,2023-07-02T13:23:12+00:00,16,Flag,CLEAR,Track,TRACK CLEAR,
860,9118,2023-07-02T13:23:15+00:00,16,Drs,,,DRS ENABLED,
861,9118,2023-07-02T13:23:38+00:00,16,Other,,,CAR 27 (HUL) TIME 1:11.248 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
862,9118,2023-07-02T13:24:14+00:00,17,Other,,,FIA STEWARDS: INCIDENT INVOLVING CAR 44 (HAM) UNDER INVESTIGATION - TRACK LIMITS,
863,9118,2023-07-02T13:24:24+00:00,17,Other,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 44 (HAM) - TRACK LIMITS,
864,9118,2023-07-02T13:25:01+00:00,17,Other,,,CAR 44 (HAM) TIME 1:10.598 DELETED - TRACK LIMITS AT TURN 10 LAP 9 15:15:08,
865,9118,2023-07-02T13:25:03+00:00,17,Other,,,CAR 44 (HAM) TIME 1:10.901 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
866,9118,2023-07-02T13:25:29+00:00,18,Other,,,CAR 22 (TSU) TIME 1:11.725 DELETED - TRACK LIMITS AT TURN 10 LAP 9 15:15:21,
867,9118,2023-07-02T13:25:30+00:00,18,Other,,,CAR 22 (TSU) TIME 1:11.852 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),
868,9118,2023-07-02T13:25:36+00:00,18,Other,,,INCIDENT INVOLVING CAR 22 (TSU) NOTED - TRACK LIMITS,
