id,race_id,driver_id,constructor_id,number,position,points,grid,laps,status,qualifying_position
79,2023_4,zhou,alfa,24,19,0.0,15,36,Retired,16
80,2023_4,de_vries,alphatauri,21,20,0.0,18,9,Retired,20
81,2023_5,max_verstappen,red_bull,1,1,26.0,9,57,Finished,9
82,2023_5,perez,red_bull,11,2,18.0,1,57,Finished,1
83,2023_5,alonso,aston_martin,14,3,15.0,2,57,Finished,2
84,2023_5,russell,mercedes,63,4,12.0,6,57,Finished,6
85,2023_5,sainz,ferrari,55,5,10.0,3,57,Finished,3
86,2023_5,hamilton,mercedes,44,6,8.0,13,57,Finished,13
87,2023_5,leclerc,ferrari,16,7,6.0,7,57,Finished,7
88,2023_5,gasly,alpine,10,8,4.0,5,57,Finished,5
89,2023_5,ocon,alpine,31,9,2.0,8,57,Finished,8
90,2023_5,kevin_magnussen,haas,20,10,1.0,4,57,Finished,4
91,2023_5,tsunoda,alphatauri,22,11,0.0,17,57,Finished,17
92,2023_5,stroll,aston_martin,18,12,0.0,18,57,Finished,18
93,2023_5,bottas,alfa,77,13,0.0,10,57,Finished,10
94,2023_5,albon,williams,23,14,0.0,11,57,Finished,11
95,2023_5,hulkenberg,haas,27,15,0.0,12,57,Finished,12
96,2023_5,zhou,alfa,24,16,0.0,14,57,Finished,14
97,2023_5,norris,mclaren,4,17,0.0,16,57,Finished,16
98,2023_5,de_vries,alphatauri,21,18,0.0,15,57,Finished,15
99,2023_5,piastri,mclaren,81,19,0.0,19,56,Lapped,19
100,2023_5,sargeant,williams,2,20,0.0,20,56,Lapped,20
101,2002_1,michael_schumacher,ferrari,1,1,10.0,2,58,Finished,
102,2002_1,montoya,williams,6,2,6.0,6,58,Finished,
103,2002_1,raikkonen,mclaren,4,3,4.0,5,58,Finished,
104,2002_1,irvine,jaguar,16,4,3.0,19,57,+1 Lap,
105,2002_1,webber,minardi,23,5,2.0,18,56,+2 Laps,
106,2002_1,salo,toyota,24,6,1.0,14,56,+2 Laps,
107,2002_1,yoong,minardi,22,7,0.0,21,55,+3 Laps,
108,2002_1,rosa,jaguar,17,8,0.0,20,53,+5 Laps,
109,2002_1,coulthard,mclaren,3,9,0.0,4,33,Gearbox,
110,2002_1,villeneuve,bar,11,10,0.0,13,27,Broken wing,
111,2002_1,frentzen,arrows,20,11,0.0,15,16,Disqualified,
112,2002_1,bernoldi,arrows,21,12,0.0,17,15,Disqualified,
113,2002_1,sato,jordan,10,13,0.0,22,12,Electrical,
114,2002_1,trulli,renault,14,14,0.0,7,8,Spun off,
115,2002_1,barrichello,ferrari,2,15,0.0,1,0,Collision,
116,2002_1,ralf_schumacher,williams,5,16,0.0,3,0,Collision,
117,2002_1,fisichella,jordan,9,17,0.0,8,0,Collision,
118,2002_1,massa,sauber,8,18,0.0,9,0,Collision,
119,2002_1,heidfeld,sauber,7,19,0.0,10,0,Collision,
120,2002_1,button,renault,15,20,0.0,11,0,Collision,
121,2002_1,panis,bar,12,21,0.0,12,0,Collision,
122,2002_1,mcnish,toyota,25,22,0.0,16,0,Collision,
123,2002_2,ralf_schumacher,williams,5,1,10.0,4,56,Finished,4
124,2002_2,montoya,williams,6,2,6.0,2,56,Finished,2
125,2002_2,michael_schumacher,ferrari,1,3,4.0,1,56,Finished,1
126,2002_2,button,renault,15,4,3.0,8,56,Finished,8
127,2002_2,heidfeld,sauber,7,5,2.0,7,55,+1 Lap,7
128,2002_2,massa,sauber,8,6,1.0,14,55,+1 Lap,14
129,2002_2,mcnish,toyota,25,7,0.0,19,55,+1 Lap,19
130,2002_2,villeneuve,bar,11,8,0.0,13,55,+1 Lap,13
131,2002_2,sato,jordan,10,9,0.0,15,54,+2 Laps,15
132,2002_2,rosa,jaguar,17,10,0.0,17,54,+2 Laps,17
133,2002_2,frentzen,arrows,20,11,0.0,11,54,+2 Laps,11
134,2002_2,salo,toyota,24,12,0.0,10,53,+3 Laps,10
135,2002_2,fisichella,jordan,9,13,0.0,9,53,+3 Laps,9
136,2002_2,barrichello,ferrari,2,14,0.0,3,39,Engine,3
137,2002_2,webber,minardi,23,15,0.0,21,34,Electrical,21
138,2002_2,irvine,jaguar,16,16,0.0,20,30,Hydraulics,20
139,2002_2,yoong,minardi,22,17,0.0,22,29,Gearbox,22
140,2002_2,raikkonen,mclaren,4,18,0.0,5,24,Engine,5
141,2002_2,bernoldi,arrows,21,19,0.0,16,20,Fuel,16
142,2002_2,coulthard,mclaren,3,20,0.0,6,15,Engine,6
143,2002_2,panis,bar,12,21,0.0,18,9,Clutch,18
144,2002_2,trulli,renault,14,22,0.0,12,9,Overheating,12
145,2002_3,michael_schumacher,ferrari,1,1,10.0,2,71,Finished,
146,2002_3,ralf_schumacher,williams,5,2,6.0,3,71,Finished,
147,2002_3,coulthard,mclaren,3,3,4.0,4,71,Finished,
148,2002_3,button,renault,15,4,3.0,7,71,Finished,
149,2002_3,montoya,williams,6,5,2.0,1,71,Finished,
150,2002_3,salo,toyota,24,6,1.0,10,70,+1 Lap,
151,2002_3,irvine,jaguar,16,7,0.0,13,70,+1 Lap,
152,2002_3,rosa,jaguar,17,8,0.0,11,70,+1 Lap,
153,2002_3,sato,jordan,10,9,0.0,19,69,+2 Laps,
154,2002_3,villeneuve,bar,11,10,0.0,15,68,Engine,
155,2002_3,webber,minardi,23,11,0.0,20,68,+3 Laps,
156,2002_3,raikkonen,mclaren,4,12,0.0,5,67,Wheel rim,
157,2002_3,yoong,minardi,22,13,0.0,22,67,+4 Laps,
158,2002_3,heidfeld,sauber,7,14,0.0,9,61,Brakes,
159,2002_3,trulli,renault,14,15,0.0,6,60,Engine,
160,2002_3,massa,sauber,8,16,0.0,12,41,Collision,
161,2002_3,mcnish,toyota,25,17,0.0,16,40,Spun off,
162,2002_3,panis,bar,12,18,0.0,17,25,Gearbox,
163,2002_3,frentzen,arrows,20,19,0.0,18,25,Suspension,
164,2002_3,bernoldi,arrows,21,20,0.0,21,19,Suspension,
165,2002_3,barrichello,ferrari,2,21,0.0,8,16,Hydraulics,
166,2002_3,fisichella,jordan,9,22,0.0,14,6,Engine,
167,2002_4,michael_schumacher,ferrari,1,1,10.0,1,62,Finished,
168,2002_4,barrichello,ferrari,2,2,6.0,2,62,Finished,
169,2002_4,ralf_schumacher,williams,5,3,4.0,3,62,Finished,
170,2002_4,montoya,williams,6,4,3.0,4,62,Finished,
171,2002_4,button,renault,15,5,2.0,9,62,Finished,
172,2002_4,coulthard,mclaren,3,6,1.0,6,61,+1 Lap,
173,2002_4,villeneuve,bar,11,7,0.0,10,61,+1 Lap,
174,2002_4,massa,sauber,8,8,0.0,11,61,+1 Lap,
175,2002_4,trulli,renault,14,9,0.0,8,61,+1 Lap,
176,2002_4,heidfeld,sauber,7,10,0.0,7,61,+1 Lap,
177,2002_4,webber,minardi,23,11,0.0,19,60,+2 Laps,
178,2002_4,bernoldi,arrows,21,12,0.0,20,50,Power loss,
179,2002_4,irvine,jaguar,16,13,0.0,18,45,Driveshaft,
180,2002_4,raikkonen,mclaren,4,14,0.0,5,44,Exhaust,
181,2002_4,panis,bar,12,15,0.0,12,44,Throttle,
182,2002_4,rosa,jaguar,17,16,0.0,22,30,Driveshaft,
183,2002_4,salo,toyota,24,17,0.0,16,26,Gearbox,
184,2002_4,frentzen,arrows,20,18,0.0,13,25,Power loss,
185,2002_4,fisichella,jordan,9,19,0.0,15,19,Hydraulics,
186,2002_4,sato,jordan,10,20,0.0,14,5,Gearbox,
187,2002_4,mcnish,toyota,25,21,0.0,17,0,Electrical,
188,2002_5,michael_schumacher,ferrari,1,1,10.0,1,65,Finished,
189,2002_5,montoya,williams,6,2,6.0,4,65,Finished,
190,2002_5,coulthard,mclaren,3,3,4.0,7,65,Finished,
191,2002_5,heidfeld,sauber,7,4,3.0,8,65,Finished,
192,2002_5,massa,sauber,8,5,2.0,11,65,Finished,
193,2002_5,frentzen,arrows,20,6,1.0,10,65,Finished,
194,2002_5,villeneuve,bar,11,7,0.0,15,64,+1 Lap,
195,2002_5,mcnish,toyota,25,8,0.0,19,64,+1 Lap,
196,2002_5,salo,toyota,24,9,0.0,17,64,+1 Lap,
197,2002_5,trulli,renault,14,10,0.0,9,63,Engine,
198,2002_5,ralf_schumacher,williams,5,11,0.0,3,63,Engine,
199,2002_5,button,renault,15,12,0.0,6,60,Hydraulics,
200,2002_5,panis,bar,12,13,0.0,13,43,Exhaust,
201,2002_5,irvine,jaguar,16,14,0.0,22,41,Hydraulics,
202,2002_5,bernoldi,arrows,21,15,0.0,14,40,Hydraulics,
203,2002_5,sato,jordan,10,16,0.0,18,10,Spun off,
204,2002_5,fisichella,jordan,9,17,0.0,12,5,Hydraulics,
205,2002_5,raikkonen,mclaren,4,18,0.0,5,4,Rear wing,
206,2002_5,rosa,jaguar,17,19,0.0,16,2,Spun off,
207,2002_5,barrichello,ferrari,2,20,0.0,2,0,Gearbox,
208,2002_5,webber,minardi,22,21,0.0,20,0,Safety,
209,2002_5,yoong,minardi,23,22,0.0,21,0,Safety,
210,2002_6,michael_schumacher,ferrari,1,1,10.0,3,71,Finished,
211,2002_6,barrichello,ferrari,2,2,6.0,1,71,Finished,
212,2002_6,montoya,williams,6,3,4.0,4,71,Finished,
213,2002_6,ralf_schumacher,williams,5,4,3.0,2,71,Finished,
214,2002_6,fisichella,jordan,9,5,2.0,15,71,Finished,
215,2002_6,coulthard,mclaren,3,6,1.0,8,71,Finished,
216,2002_6,button,renault,15,7,0.0,13,71,Finished,
217,2002_6,salo,toyota,24,8,0.0,10,71,Finished,
218,2002_6,mcnish,toyota,25,9,0.0,14,71,Finished,
219,2002_6,villeneuve,bar,11,10,0.0,17,70,+1 Lap,
220,2002_6,frentzen,arrows,20,11,0.0,11,69,+2 Laps,
221,2002_6,webber,minardi,23,12,0.0,21,69,+2 Laps,
222,2002_6,trulli,renault,14,13,0.0,16,44,Fuel pressure,
223,2002_6,yoong,minardi,22,14,0.0,22,42,Engine,
224,2002_6,irvine,jaguar,16,15,0.0,20,38,Hydraulics,
225,2002_6,heidfeld,sauber,7,16,0.0,5,27,Collision,
226,2002_6,sato,jordan,10,17,0.0,18,26,Collision,
227,2002_6,panis,bar,12,18,0.0,9,22,Engine,
228,2002_6,massa,sauber,8,19,0.0,7,7,Suspension,
229,2002_6,raikkonen,mclaren,4,20,0.0,6,5,Engine,
230,2002_6,bernoldi,arrows,21,21,0.0,12,2,Collision,
231,2002_6,rosa,jaguar,17,22,0.0,19,0,Throttle,
232,2002_7,coulthard,mclaren,3,1,10.0,2,78,Finished,
233,2002_7,michael_schumacher,ferrari,1,2,6.0,3,78,Finished,
234,2002_7,ralf_schumacher,williams,5,3,4.0,4,78,Finished,
235,2002_7,trulli,renault,14,4,3.0,7,77,+1 Lap,
236,2002_7,fisichella,jordan,9,5,2.0,11,77,+1 Lap,
237,2002_7,frentzen,arrows,20,6,1.0,12,77,+1 Lap,
238,2002_7,barrichello,ferrari,2,7,0.0,5,77,+1 Lap,
239,2002_7,heidfeld,sauber,7,8,0.0,15,76,+2 Laps,
240,2002_7,irvine,jaguar,16,9,0.0,19,76,+2 Laps,
241,2002_7,rosa,jaguar,17,10,0.0,17,76,+2 Laps,
242,2002_7,webber,minardi,23,11,0.0,20,76,+2 Laps,
243,2002_7,bernoldi,arrows,21,12,0.0,21,76,+2 Laps,
244,2002_7,salo,toyota,24,13,0.0,9,69,Brakes,
245,2002_7,massa,sauber,8,14,0.0,13,63,Accident,
246,2002_7,panis,bar,12,15,0.0,18,51,Collision,
247,2002_7,button,renault,15,16,0.0,8,51,Collision,
248,2002_7,montoya,williams,6,17,0.0,1,46,Engine,
249,2002_7,villeneuve,bar,11,18,0.0,14,44,Mechanical,
250,2002_7,raikkonen,mclaren,4,19,0.0,6,41,Collision,
251,2002_7,yoong,minardi,22,20,0.0,22,29,Accident,
252,2002_7,sato,jordan,10,21,0.0,16,22,Spun off,
253,2002_7,mcnish,toyota,25,22,0.0,10,15,Accident,
254,2002_8,michael_schumacher,ferrari,1,1,10.0,2,70,Finished,
255,2002_8,coulthard,mclaren,3,2,6.0,8,70,Finished,
256,2002_8,barrichello,ferrari,2,3,4.0,3,70,Finished,
257,2002_8,raikkonen,mclaren,4,4,3.0,5,70,Finished,
258,2002_8,fisichella,jordan,9,5,2.0,6,70,Finished,
259,2002_8,trulli,renault,14,6,1.0,10,70,Finished,
260,2002_8,ralf_schumacher,williams,5,7,0.0,4,70,Engine,
261,2002_8,panis,bar,12,8,0.0,11,69,+1 Lap,
262,2002_8,massa,sauber,8,9,0.0,12,69,+1 Lap,
263,2002_8,sato,jordan,10,10,0.0,15,69,+1 Lap,
264,2002_8,webber,minardi,23,11,0.0,21,69,+1 Lap,
265,2002_8,heidfeld,sauber,7,12,0.0,7,69,+1 Lap,
266,2002_8,frentzen,arrows,20,13,0.0,19,69,+1 Lap,
267,2002_8,yoong,minardi,22,14,0.0,22,68,+2 Laps,
268,2002_8,button,renault,15,15,0.0,13,65,Gearbox,
269,2002_8,montoya,williams,6,16,0.0,1,56,Engine,
270,2002_8,mcnish,toyota,25,17,0.0,20,45,Spun off,
271,2002_8,irvine,jaguar,16,18,0.0,14,41,Overheating,
272,2002_8,salo,toyota,24,19,0.0,18,41,Brakes,
273,2002_8,rosa,jaguar,17,20,0.0,16,29,Gearbox,
274,2002_8,bernoldi,arrows,21,21,0.0,17,16,Suspension,
275,2002_8,villeneuve,bar,11,22,0.0,9,8,Oil pressure,
276,2002_9,barrichello,ferrari,2,1,10.0,4,60,Finished,
277,2002_9,michael_schumacher,ferrari,1,2,6.0,3,60,Finished,
278,2002_9,raikkonen,mclaren,4,3,4.0,6,60,Finished,
279,2002_9,ralf_schumacher,williams,5,4,3.0,2,60,Finished,
280,2002_9,button,renault,15,5,2.0,8,60,Finished,
281,2002_9,massa,sauber,8,6,1.0,11,59,+1 Lap,
282,2002_9,heidfeld,sauber,7,7,0.0,9,59,+1 Lap,
283,2002_9,trulli,renault,14,8,0.0,7,59,+1 Lap,
284,2002_9,panis,bar,12,9,0.0,12,59,+1 Lap,
285,2002_9,rosa,jaguar,17,10,0.0,16,59,+1 Lap,
286,2002_9,bernoldi,arrows,21,11,0.0,21,59,+1 Lap,
287,2002_9,villeneuve,bar,11,12,0.0,19,59,+1 Lap,
288,2002_9,frentzen,arrows,20,13,0.0,15,59,+1 Lap,
289,2002_9,mcnish,toyota,25,14,0.0,13,59,+1 Lap,
290,2002_9,webber,minardi,23,15,0.0,20,58,+2 Laps,
291,2002_9,sato,jordan,10,16,0.0,14,58,+2 Laps,
292,2002_9,salo,toyota,24,17,0.0,10,51,Gearbox,
293,2002_9,yoong,minardi,22,18,0.0,22,48,Hydraulics,
294,2002_9,irvine,jaguar,16,19,0.0,17,41,Hydraulics,
295,2002_9,montoya,williams,6,20,0.0,1,27,Collision,
296,2002_9,coulthard,mclaren,3,21,0.0,5,27,Collision,
297,2002_9,fisichella,jordan,9,22,0.0,18,26,Accident,
298,2002_10,michael_schumacher,ferrari,1,1,10.0,3,60,Finished,
299,2002_10,barrichello,ferrari,2,2,6.0,2,60,Finished,
300,2002_10,montoya,williams,6,3,4.0,1,60,Finished,
301,2002_10,villeneuve,bar,11,4,3.0,9,59,+1 Lap,
302,2002_10,panis,bar,12,5,2.0,13,59,+1 Lap,
303,2002_10,heidfeld,sauber,7,6,1.0,10,59,+1 Lap,
304,2002_10,fisichella,jordan,9,7,0.0,17,59,+1 Lap,
305,2002_10,ralf_schumacher,williams,5,8,0.0,4,59,+1 Lap,
306,2002_10,massa,sauber,8,9,0.0,11,59,+1 Lap,
307,2002_10,coulthard,mclaren,3,10,0.0,6,58,+2 Laps,
308,2002_10,rosa,jaguar,17,11,0.0,21,58,+2 Laps,
309,2002_10,button,renault,15,12,0.0,12,54,Wheel,
310,2002_10,sato,jordan,10,13,0.0,14,50,Engine,
311,2002_10,raikkonen,mclaren,4,14,0.0,5,44,Engine,
312,2002_10,trulli,renault,14,15,0.0,7,29,Electronics,
313,2002_10,bernoldi,arrows,21,16,0.0,18,28,Driveshaft,
314,2002_10,irvine,jaguar,16,17,0.0,19,23,Spun off,
315,2002_10,frentzen,arrows,20,18,0.0,16,20,Engine,
316,2002_10,salo,toyota,24,19,0.0,8,15,Drivetrain,
317,2002_10,webber,minardi,23,20,0.0,20,9,Clutch,
318,2002_10,mcnish,toyota,25,21,0.0,15,0,Clutch,
319,2002_11,michael_schumacher,ferrari,1,1,10.0,2,72,Finished,
320,2002_11,raikkonen,mclaren,4,2,6.0,4,72,Finished,
321,2002_11,coulthard,mclaren,3,3,4.0,6,72,Finished,
322,2002_11,montoya,williams,6,4,3.0,1,72,Finished,
323,2002_11,ralf_schumacher,williams,5,5,2.0,5,72,Finished,
324,2002_11,button,renault,15,6,1.0,7,71,+1 Lap,
325,2002_11,heidfeld,sauber,7,7,0.0,10,71,+1 Lap,
326,2002_11,webber,minardi,23,8,0.0,18,71,+1 Lap,
327,2002_11,rosa,jaguar,17,9,0.0,15,70,+2 Laps,
328,2002_11,yoong,minardi,22,10,0.0,19,68,+4 Laps,
329,2002_11,mcnish,toyota,25,11,0.0,17,65,Engine,
330,2002_11,irvine,jaguar,16,12,0.0,9,52,Rear wing,
331,2002_11,trulli,renault,14,13,0.0,8,49,Engine,
332,2002_11,massa,sauber,8,14,0.0,12,48,Mechanical,
333,2002_11,salo,toyota,24,15,0.0,16,48,Engine,
334,2002_11,villeneuve,bar,11,16,0.0,13,35,Engine,
335,2002_11,panis,bar,12,17,0.0,11,29,Accident,
336,2002_11,sato,jordan,10,18,0.0,14,23,Spun off,
337,2002_11,barrichello,ferrari,2,19,0.0,3,0,Ignition,
338,2002_11,fisichella,jordan,9,22,0.0,0,0,Injury,
339,2002_12,michael_schumacher,ferrari,1,1,10.0,1,67,Finished,
340,2002_12,montoya,williams,6,2,6.0,4,67,Finished,
341,2002_12,ralf_schumacher,williams,5,3,4.0,2,67,Finished,
342,2002_12,barrichello,ferrari,2,4,3.0,3,67,Finished,
343,2002_12,coulthard,mclaren,3,5,2.0,9,66,+1 Lap,
344,2002_12,heidfeld,sauber,7,6,1.0,10,66,+1 Lap,
345,2002_12,massa,sauber,8,7,0.0,14,66,+1 Lap,
346,2002_12,sato,jordan,10,8,0.0,12,66,+1 Lap,
347,2002_12,salo,toyota,24,9,0.0,19,66,+1 Lap,
348,2002_12,fisichella,jordan,9,10,0.0,6,59,Engine,
349,2002_12,raikkonen,mclaren,4,11,0.0,5,59,Spun off,
350,2002_12,irvine,jaguar,16,12,0.0,16,57,Brakes,
351,2002_12,bernoldi,arrows,21,13,0.0,18,48,Engine,
352,2002_12,panis,bar,12,14,0.0,7,39,Engine,
353,2002_12,trulli,renault,14,15,0.0,8,36,Spun off,
354,2002_12,villeneuve,bar,11,16,0.0,11,27,Gearbox,
355,2002_12,button,renault,15,17,0.0,13,24,Engine,
356,2002_12,mcnish,toyota,25,18,0.0,17,23,Engine,
357,2002_12,webber,minardi,23,19,0.0,21,23,Hydraulics,
358,2002_12,frentzen,arrows,20,20,0.0,15,18,Hydraulics,
359,2002_12,rosa,jaguar,17,21,0.0,20,0,Transmission,
360,2002_13,barrichello,ferrari,2,1,10.0,1,77,Finished,
361,2002_13,michael_schumacher,ferrari,1,2,6.0,2,77,Finished,
362,2002_13,ralf_schumacher,williams,5,3,4.0,3,77,Finished,
363,2002_13,raikkonen,mclaren,4,4,3.0,11,77,Finished,
364,2002_13,coulthard,mclaren,3,5,2.0,10,77,Finished,
365,2002_13,fisichella,jordan,9,6,1.0,5,77,Finished,
366,2002_13,massa,sauber,8,7,0.0,7,77,Finished,
367,2002_13,trulli,renault,14,8,0.0,6,76,+1 Lap,
368,2002_13,heidfeld,sauber,7,9,0.0,8,76,+1 Lap,
369,2002_13,sato,jordan,10,10,0.0,14,76,+1 Lap,
370,2002_13,montoya,williams,6,11,0.0,4,76,+1 Lap,
371,2002_13,panis,bar,12,12,0.0,12,76,+1 Lap,
372,2002_13,rosa,jaguar,17,13,0.0,15,75,+2 Laps,
373,2002_13,mcnish,toyota,25,14,0.0,18,75,+2 Laps,
374,2002_13,salo,toyota,24,15,0.0,17,75,+2 Laps,
375,2002_13,webber,minardi,23,16,0.0,19,75,+2 Laps,
376,2002_13,davidson,minardi,22,17,0.0,20,58,Spun off,
377,2002_13,button,renault,15,18,0.0,9,30,Spun off,
378,2002_13,irvine,jaguar,16,19,0.0,16,23,Engine,
379,2002_13,villeneuve,bar,11,20,0.0,13,20,Transmission,
380,2002_14,michael_schumacher,ferrari,1,1,10.0,1,44,Finished,
381,2002_14,barrichello,ferrari,2,2,6.0,3,44,Finished,
382,2002_14,montoya,williams,6,3,4.0,5,44,Finished,
383,2002_14,coulthard,mclaren,3,4,3.0,6,44,Finished,
384,2002_14,ralf_schumacher,williams,5,5,2.0,4,44,Finished,
385,2002_14,irvine,jaguar,16,6,1.0,8,44,Finished,
386,2002_14,salo,toyota,24,7,0.0,9,44,Finished,
387,2002_14,villeneuve,bar,11,8,0.0,12,44,Finished,
388,2002_14,mcnish,toyota,25,9,0.0,13,43,+1 Lap,
389,2002_14,heidfeld,sauber,7,10,0.0,18,43,+1 Lap,
390,2002_14,sato,jordan,10,11,0.0,16,43,+1 Lap,
391,2002_14,panis,bar,12,12,0.0,15,39,Engine,
392,2002_14,fisichella,jordan,9,13,0.0,14,38,Engine,
393,2002_14,rosa,jaguar,17,14,0.0,11,37,Suspension,
394,2002_14,massa,sauber,8,15,0.0,17,37,Engine,
395,2002_14,raikkonen,mclaren,4,16,0.0,2,35,Engine,
396,2002_14,trulli,renault,14,17,0.0,7,35,Engine,
397,2002_14,davidson,minardi,22,18,0.0,20,17,Spun off,
398,2002_14,button,renault,15,19,0.0,10,10,Engine,
399,2002_14,webber,minardi,23,20,0.0,19,4,Gearbox,
400,2002_15,barrichello,ferrari,2,1,10.0,4,53,Finished,
401,2002_15,michael_schumacher,ferrari,1,2,6.0,2,53,Finished,
402,2002_15,irvine,jaguar,16,3,4.0,5,53,Finished,
403,2002_15,trulli,renault,14,4,3.0,11,53,Finished,
404,2002_15,button,renault,15,5,2.0,17,53,Finished,
405,2002_15,panis,bar,12,6,1.0,16,53,Finished,
406,2002_15,coulthard,mclaren,3,7,0.0,7,53,Finished,
407,2002_15,fisichella,jordan,9,8,0.0,12,53,Finished,
